Feature,Consortium_Early_R1,Consortium_Early_R2,Consortium_Early_R3,Consortium_Late_R1,Consortium_Late_R2,Consortium_Late_R3,HGF2_Early_R1,HGF2_Early_R2,HGF2_Early_R3,HGF2_Late_R1,HGF2_Late_R2,HGF2_Late_R13
RCHGF004020,11,7,8,3,8,6,4492,4275,4133,4019,5664,4355
RCHGF004021,22,36,38,9,5,7,8042,9015,5858,7513,10959,8648
RCHGF004022,10,20,3,11,9,5,5883,6176,4993,4440,6391,5762
RCHGF004023,11,19,22,9,9,9,4266,4882,2690,2864,3615,3192
RCHGF004024,5,5,6,0,2,2,926,1127,614,471,477,497
RCHGF004025,14,14,7,2,6,5,2979,3238,1869,1644,1890,1720
RCHGF004027,0,1,0,0,0,0,122,126,155,89,177,143
RCHGF004028,3,5,6,7,2,4,1745,1687,1611,996,1420,1201
RCHGF004029,6,7,5,1,7,8,1495,1517,1216,619,1222,1051
RCHGF004030,28,32,25,12,10,9,4269,4542,3927,3105,4695,3869
RCHGF004031,9,15,13,6,8,9,6533,6715,4510,2602,3689,3183
RCHGF004032,7,12,9,1,5,1,2183,1982,1979,1045,1491,1325
RCHGF004033,1,2,1,0,0,0,268,191,334,133,209,137
RCHGF004034,1,0,1,0,0,0,91,108,62,48,40,13
RCHGF004035,1,0,0,0,0,0,95,113,58,62,29,34
RCHGF004036,0,0,0,0,0,0,3,14,17,4,0,2
RCHGF004037,0,0,0,0,0,0,9,11,12,11,3,5
RCHGF004038,0,0,0,0,0,0,1,0,0,2,0,0
RCHGF004039,0,0,2,0,0,0,10,12,10,3,10,9
RCHGF004040,0,0,0,2,0,0,41,46,35,10,7,5
RCHGF004041,0,0,0,0,0,0,47,46,64,662,526,473
RCHGF004042,11,4,6,5,5,1,9787,7129,9206,8665,9533,6704
RCHGF004043,6,7,2,0,1,1,1936,1885,1582,1224,1753,1380
RCHGF004044,11,14,6,1,1,3,2420,2437,1619,1533,2311,1901
RCHGF004045,11,19,12,4,3,7,6868,7801,5813,4376,6633,5665
RCHGF004046,8,19,15,9,5,8,3864,4129,2943,2514,3460,3068
RCHGF004047,5,5,5,1,2,4,3858,3818,3585,2173,3290,2637
RCHGF004048,0,0,0,0,0,0,35,23,27,103,65,41
RCHGF004049,14,4,0,7,0,0,409,421,421,57739,59110,51603
RCHGF004050,158,143,96,78,111,70,232405,262538,464237,125537,82243,61396
RCHGF004051,5,12,11,5,10,4,5330,5380,3458,1572,2149,1720
RCHGF004052,5,9,7,3,2,0,1326,1227,1076,586,440,485
RCHGF004053,2,2,3,4,1,1,1166,1003,1817,809,703,510
RCHGF004054,0,0,2,0,1,0,521,567,256,140,151,121
RCHGF004055,0,0,0,1,0,0,553,623,362,161,148,125
RCHGF004056,4,1,3,1,0,0,796,868,503,384,313,220
