"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000424",33575,42973,31322,25523,21358,22146,31457,32729,54495,25615,22574,24740
"RVCYZ000425",830,932,661,840,668,634,998,1308,2178,1515,1617,1607
"RVCYZ000426",3583,4156,2849,2494,2045,1920,4206,5195,21537,6952,6931,7490
"RVCYZ000427",4431,5365,3627,3160,2504,2848,4409,4821,15332,3557,3400,3921
"RVCYZ000428",11648,13665,9217,7017,5833,5544,10000,11059,54877,9471,8817,10299
"RVCYZ000429",1504,1524,1390,937,768,687,1148,1459,8881,1299,1332,1627
"RVCYZ000430",603,640,551,440,358,324,563,641,2395,640,747,783
"RVCYZ000431",2818,3412,2476,2555,2231,2151,3122,3729,2285,3165,3447,3491
"RVCYZ000432",3731,4172,3156,2347,2082,1917,3967,4991,5266,5040,5548,5752
"RVCYZ000433",2658,3409,2649,2035,1733,1817,3100,3852,1639,3468,3687,3967
"RVCYZ000434",3115,3373,2767,2273,1896,2038,2773,3242,1740,2486,2225,2868
"RVCYZ000435",1251,1712,1190,853,717,792,1470,1774,839,1665,1883,1915
"RVCYZ000436",12817,15813,11503,10267,8709,9522,12933,14662,17848,9048,9708,10205
"RVCYZ000437",8458,10628,7372,5553,5014,5034,8343,9054,14193,6842,6509,7054
"RVCYZ000438",2279,2790,1884,1626,1281,1139,2625,3216,5356,3956,4010,4236
"RVCYZ000439",2194,2625,1961,1618,1372,1088,2562,3842,2968,5206,5819,5949
"RVCYZ000440",1753,2077,1512,1138,1086,930,2080,2724,2486,4008,4135,4368
"RVCYZ000441",926,1056,791,688,635,584,998,1326,1179,1792,1829,2182
"RVCYZ000442",856,984,774,663,572,435,1169,1721,632,2663,2901,2969
"RVCYZ000443",724,809,572,497,383,330,739,1079,606,1689,1578,1665
"RVCYZ000444",3974,4918,3390,2246,1814,1862,3735,4254,6892,3589,3554,3962
"RVCYZ000445",2379,2844,2101,1377,1124,1100,2207,2682,2131,2125,2395,2430
"RVCYZ000446",2584,3351,2540,1526,1257,1221,2445,3049,1645,2247,2438,2536
"RVCYZ000447",1816,2348,1630,1227,1145,1015,1841,2467,1224,2075,2214,2332
"RVCYZ000448",11119,13680,9633,4683,4027,3795,10423,11156,15197,6879,6194,7213
"RVCYZ000449",1671,1969,1444,1141,1063,956,1988,2458,1838,2356,2537,2527
"RVCYZ000450",23432,31246,24792,19132,16201,19938,25190,24410,19291,6723,5508,5971
"RVCYZ000451",14259,15836,14242,10986,10342,12413,13608,14271,10983,4401,4388,5582
"RVCYZ000452",3745,4452,3130,2493,2114,2265,4385,5063,3162,4236,4744,5001
"RVCYZ000453",11437,14457,10693,7293,6109,6299,12839,14320,4652,10296,10608,11173
"RVCYZ000454",244,226,171,139,129,114,201,249,74,279,262,281
"RVCYZ000455",511,605,400,335,293,212,622,915,551,1351,1565,1549
"RVCYZ000456",992,1238,878,812,646,736,880,1064,2544,878,716,905
"RVCYZ000457",638,777,522,585,452,339,842,1339,1084,2138,2307,2553
"RVCYZ000458",607,785,589,503,427,359,793,1057,434,1354,1361,1632
"RVCYZ000459",11115,13898,9736,5572,4431,4611,10447,10986,11193,5027,4879,5770
"RVCYZ000460",3525,3983,3791,2529,2462,2931,4357,4363,3987,2068,1955,2247
"RVCYZ000461",1956,1876,2134,1134,1038,958,1574,1369,5726,848,849,1089
"RVCYZ000462",5256,6624,5094,3905,3165,3311,5602,6152,6961,5342,5169,5270
"RVCYZ000463",2684,3341,2329,1826,1437,1420,2882,3724,2009,4132,4510,4611
"RVCYZ000464",1654,1694,1716,1337,1128,1277,1428,1711,2063,879,852,950
"RVCYZ000465",1386,1613,1226,1121,1076,899,1539,2223,1696,2681,3057,3067
"RVCYZ000466",2204,2840,2089,1266,959,880,2394,3299,4707,3838,4000,4060
"RVCYZ000467",922,1076,654,539,527,401,1175,1661,2852,3152,3162,3187
"RVCYZ000468",327,397,240,256,261,154,435,688,365,1134,1239,1160
"RVCYZ000469",1258,1343,985,835,703,589,1413,1815,2132,2112,2243,2352
"RVCYZ000470",19582,24826,18414,11132,9159,10149,20795,21844,15480,8659,8718,9117
"RVCYZ000471",45079,59835,40924,22496,17744,18243,45385,44198,16300,10576,8186,9779
"RVCYZ000472",7882,9392,8319,4053,3947,4366,10123,9350,6888,2620,2838,3226
"RVCYZ000473",7130,9262,6215,4302,3396,3193,7403,9124,7273,7336,8149,8344
"RVCYZ000474",1607,1940,1293,1060,903,687,1926,2790,3007,4223,4471,4555
"RVCYZ000475",10168,11749,8130,9531,7579,7858,8536,10626,15600,9941,9603,10141
"RVCYZ000476",546,656,415,478,413,262,749,1254,684,2177,2376,2349
"RVCYZ000477",728,834,472,551,481,327,906,1520,644,2228,2645,2436
"RVCYZ000478",22386,30320,22514,18272,15049,15369,18145,18708,26365,6655,4750,4963
"RVCYZ000479",21248,28416,20872,18101,15585,16136,18627,18280,26703,8567,6875,7349
"RVCYZ000480",27027,34936,26878,21989,19236,20187,21851,23410,38081,10952,9668,10569
"RVCYZ000481",4599,5903,5438,3938,3379,3321,4047,3505,5969,1634,1677,1848
"RVCYZ000482",41531,55132,37859,34076,27279,28008,33350,34635,64629,17895,14955,15851
"RVCYZ000483",7110,10099,7246,6232,4817,4593,5294,5452,11153,3521,2409,2578
"RVCYZ000484",8445,10946,8533,7426,6418,6315,7219,6934,13941,3690,3244,3573
"RVCYZ000485",39627,49595,37615,31052,25805,26315,31629,32053,68240,17401,14245,15867
"RVCYZ000486",11721,15568,12955,10492,8896,9082,9835,10296,24607,5811,5090,5665
"RVCYZ000487",2271,2978,2637,1993,1654,1569,1869,1833,4518,976,840,1111
"RVCYZ000488",7663,10232,8248,6537,4754,5163,7499,7059,7841,3174,2503,2742
"RVCYZ000489",5319,6972,5911,4754,4039,4456,5175,4804,6707,2639,2298,2751
"RVCYZ000490",4565,5436,4891,4052,3464,3468,4039,4011,6869,1955,1929,2172
"RVCYZ000491",11659,14056,11987,9960,8706,9134,10079,9774,16455,4910,4337,5215
"RVCYZ000492",1789,2224,1603,1373,1061,1304,1662,1435,1911,625,524,626
"RVCYZ000493",15872,20763,15224,13808,11427,11522,12918,13070,20700,5964,5485,5830
"RVCYZ000494",29791,39974,29417,26545,21390,21371,25158,25177,46809,13335,10849,12489
"RVCYZ000495",10258,12754,10567,8991,7130,7165,8517,8538,15628,4332,4151,4669
"RVCYZ000496",15713,19416,15189,12271,10598,12333,15350,14172,21870,7530,6892,7776
"RVCYZ000497",1209,1659,1697,1204,1073,968,1175,1121,1811,646,557,724
"RVCYZ000498",7471,8854,8347,5990,5893,6764,8864,7937,10475,3892,3916,4423
"RVCYZ000499",3169,3919,3133,2308,1918,1974,3161,3745,4345,3596,3791,3681
"RVCYZ000500",6404,7837,5522,6675,5277,5744,5160,6432,7360,3702,3376,3562
"RVCYZ000501",7997,10401,8543,4992,4250,4178,8656,8130,7114,3312,2593,3093
"RVCYZ000502",3584,4485,3652,2985,2551,2428,3064,3183,3052,1258,1095,1291
"RVCYZ000503",14575,17683,14929,11603,9630,9091,11845,12254,12028,5170,4509,5105
"RVCYZ000504",17816,23273,19146,14556,12881,12968,15514,15412,24511,7995,6850,7759
"RVCYZ000505",25191,32715,24600,20235,17529,18221,22857,22763,33421,15860,12904,14383
"RVCYZ000506",4499,5430,4580,3548,3028,3304,4334,4441,4263,2473,2519,2656
"RVCYZ000507",1314,1504,1023,935,806,633,1641,2018,2873,2875,3333,3134
"RVCYZ000508",924,1129,758,774,632,501,1072,1620,1730,2186,2360,2296
"RVCYZ000509",3658,4420,3091,2728,2418,2308,3454,4318,4756,3530,3860,3995
"RVCYZ000510",22296,26318,20203,10931,9784,10478,23147,23830,41578,16363,14714,17536
"RVCYZ000511",2202,2530,1946,1493,1115,1179,2028,2426,5144,1956,2088,2293
"RVCYZ000512",2021,2274,1506,1257,1043,900,1962,2621,3957,2700,2813,3035
"RVCYZ000513",3676,4431,3332,2227,1978,2006,3833,4518,6595,4344,4319,4667
"RVCYZ000514",2508,2956,2147,1631,1455,1440,2884,3659,6760,4992,5403,5575
"RVCYZ000515",691,744,551,481,436,396,848,1185,653,1335,1739,1599
"RVCYZ000516",190,147,420,84,77,71,198,198,94,82,105,124
"RVCYZ000517",2996,3509,3091,2640,2335,2484,3157,3561,2912,2164,2236,2309
"RVCYZ000518",1073,1255,897,785,635,560,1213,1935,885,2283,2422,2638
"RVCYZ000519",6276,7799,6362,4050,3654,4246,7461,8234,9816,7079,6932,7421
"RVCYZ000520",4018,4458,3263,2529,1949,1907,4331,5361,7426,5833,5346,5795
"RVCYZ000521",18168,23240,17632,14509,12525,13872,18342,19118,10055,8351,8533,8736
"RVCYZ000522",4323,5559,3847,2321,2028,1903,4554,5426,5755,4097,4403,4487
"RVCYZ000523",436,587,421,393,304,239,575,922,219,1249,1414,1387
"RVCYZ000524",2887,3719,2556,2232,1951,1833,2907,4123,3125,4826,5503,5310
"RVCYZ000525",399,455,305,372,278,214,582,884,177,1459,1751,1761
"RVCYZ000526",1254,1606,1044,1056,929,800,1714,2545,1282,3271,4133,3999
"RVCYZ000527",1650,1845,1338,1331,1131,924,1949,2879,1890,4902,5460,5367
"RVCYZ000528",593,745,493,510,463,357,624,948,470,1504,1749,1642
"RVCYZ000529",868,1007,729,760,631,457,1153,1815,1680,3219,3464,3362
"RVCYZ000530",254,311,199,212,224,114,354,614,217,1164,1241,1228
"RVCYZ000531",97,122,90,36,47,34,118,138,221,281,207,242
"RVCYZ000532",3324,3931,2863,2903,2395,2442,3875,4848,4849,4807,5572,5610
"RVCYZ000533",17514,19383,15038,9524,7971,8934,15239,18452,10710,4803,4744,5413
"RVCYZ000534",40052,53703,39058,26964,22026,23783,40237,39986,4019,10057,8780,8714
"RVCYZ000535",24123,32375,26668,22334,19782,22699,27053,25611,1626,7680,7240,7086
"RVCYZ000536",49832,68429,49715,41385,34531,37200,48518,49851,3443,16051,13949,13639
"RVCYZ000537",24637,33669,25108,25727,22396,23128,24867,26132,1675,12304,11317,11916
"RVCYZ000538",9866,12526,9404,7514,6084,6415,9075,10327,5498,5888,5557,5851
"RVCYZ000539",902,1082,720,666,540,464,1098,1532,750,2073,2087,2210
"RVCYZ000540",6207,7211,6181,5387,4855,5747,6971,7115,4573,2745,2990,3188
"RVCYZ000541",29957,38685,28330,27150,22535,24453,29304,30808,16128,11023,9759,10668
"RVCYZ000542",1194,1253,1387,896,987,1135,1168,1261,678,506,546,733
"RVCYZ000543",1731,2095,1730,1593,1419,1459,2058,2229,1136,1934,2027,2054
"RVCYZ000544",2207,2549,1909,1552,1278,1171,2591,3213,3024,3708,3855,4138
"RVCYZ000545",104,105,124,76,77,46,129,152,126,247,234,238
"RVCYZ000546",1908,2130,1554,1410,1157,1018,2054,2868,3231,3306,3827,3827
"RVCYZ000547",1674,1999,1491,1804,1451,1536,1572,2053,4964,2523,2730,2742
"RVCYZ000548",2139,2551,1957,1739,1422,1435,2299,3109,2656,3149,3409,3460
"RVCYZ000549",3020,3500,2693,2592,2221,2178,2517,3338,10619,3876,3985,4251
"RVCYZ000550",17177,20404,16204,7505,6255,6674,13523,14669,29035,6357,5897,6673
"RVCYZ000551",5044,6425,4712,5107,3941,4183,4729,5617,6957,4166,3990,4400
"RVCYZ000552",3848,4817,3637,4933,4163,4466,3908,4441,2958,2605,2205,2434
"RVCYZ000553",2403,3042,2516,2152,1659,1742,2279,2833,3993,2287,2470,2217
"RVCYZ000554",729,850,708,661,507,524,856,997,1229,1158,1059,1111
"RVCYZ000555",1164,1520,1008,1019,767,844,1158,1277,2927,1258,1233,1250
"RVCYZ000556",6638,8425,6147,6841,5662,6303,5888,6409,5769,3894,4074,3965
"RVCYZ000557",778,864,565,745,616,485,1050,1616,491,2063,2578,2554
"RVCYZ000558",933,1295,772,871,664,500,1092,1653,3316,2703,2664,2532
"RVCYZ000559",630,817,485,669,559,471,820,1503,393,2241,2370,2444
"RVCYZ000560",713,980,676,422,388,326,628,695,2168,997,1006,933
"RVCYZ000561",960,1351,876,742,635,460,1408,2069,2429,3486,3638,3747
"RVCYZ000562",245,301,227,199,172,179,262,408,553,736,828,831
"RVCYZ000563",298,330,208,289,237,160,362,676,283,1165,1305,1391
"RVCYZ000564",699,1021,617,688,490,542,950,1542,497,2523,2552,2513
"RVCYZ000565",2700,3365,2599,1582,1395,1310,3199,4046,2885,4020,4428,4409
"RVCYZ000566",557,645,557,430,378,339,737,961,408,1271,1465,1622
"RVCYZ000567",3382,4103,2811,2240,1950,1587,4088,5916,1268,7339,8213,8095
"RVCYZ000568",861,1068,724,656,509,423,1143,1562,1235,2335,2706,2615
"RVCYZ000569",245,391,232,208,192,184,251,409,931,510,421,488
"RVCYZ000570",1121,1401,1027,781,652,703,1112,1260,1359,981,1000,940
"RVCYZ000571",824,1139,578,836,601,409,1138,2064,139,3546,3862,3774
"RVCYZ000572",1711,2199,1308,1590,1364,856,2450,4216,1246,7093,8044,7732
"RVCYZ000573",1521,1883,1286,1321,1097,986,1638,2281,4374,3423,3459,3507
"RVCYZ000574",1416,1745,1249,934,776,685,1439,1664,3992,2156,2100,2132
"RVCYZ000575",3285,4198,3015,1513,1311,1441,3366,3218,3409,1391,1424,1239
"RVCYZ000576",1030,1209,795,754,536,526,987,1172,1226,1321,1350,1299
"RVCYZ000577",734,959,678,692,649,580,732,963,1036,1466,1238,1310
"RVCYZ000579",4627,5731,4378,3212,2876,2616,4422,5753,3381,6112,6675,6366
"RVCYZ000580",396,463,406,274,255,240,490,607,422,929,959,1093
"RVCYZ000581",895,1156,897,652,568,648,797,963,2542,971,936,949
"RVCYZ000582",3910,4670,3679,2428,2039,1858,4266,5269,4955,7229,7742,7397
"RVCYZ000583",452,538,355,391,386,221,554,836,993,1828,1911,1888
"RVCYZ000584",359,409,225,307,271,227,421,785,1042,1827,1759,1748
"RVCYZ000585",734,785,614,520,469,385,879,1266,2597,2330,2697,2729
"RVCYZ000587",36934,48740,38314,37529,31513,35710,31844,32990,12640,11057,10454,9033
"RVCYZ000588",875,1035,841,770,620,604,903,1125,818,1033,1062,1074
"RVCYZ000589",474,496,381,329,248,265,454,645,339,938,1028,933
"RVCYZ000590",1583,1997,1542,1189,859,888,1472,1891,2099,2256,2213,2178
"RVCYZ000591",405,474,333,271,239,195,424,583,983,1181,1153,1184
"RVCYZ000592",1191,1443,1031,959,820,670,1405,1833,3376,3195,3203,3309
"RVCYZ000593",491,509,525,518,471,505,612,676,407,760,768,911
"RVCYZ000594",1080,1031,934,951,743,724,1018,1170,1226,1040,1092,1089
"RVCYZ000595",1097,1209,956,875,655,678,1153,1475,7070,3468,3198,3710
"RVCYZ000596",1295,1703,1132,952,877,817,1557,1989,1340,2503,2679,2498
"RVCYZ000597",1081,1167,1618,1073,1036,1072,1110,1225,2219,890,773,920
"RVCYZ000598",731,944,584,622,540,411,865,1378,653,2655,2815,2621
"RVCYZ000599",1375,1830,1233,854,733,613,1221,1866,401,2209,2272,2010
"RVCYZ000600",2127,2940,1997,1772,1365,1448,1926,2599,1946,3059,3075,2931
"RVCYZ000601",5000,6832,5206,2467,2127,1989,5296,6459,2471,5671,5699,5630
"RVCYZ000602",1461,1687,1377,962,817,751,1432,1847,1420,2449,2592,2390
"RVCYZ000603",357,335,274,231,189,185,291,408,650,685,629,643
"RVCYZ000604",684,800,556,587,466,589,735,897,2023,1604,1536,1511
"RVCYZ000605",491,587,386,382,304,231,546,717,2663,1801,1487,1451
"RVCYZ000606",2971,4097,3247,1604,1228,1106,2750,3058,2374,2350,2100,2212
"RVCYZ000607",6787,8901,7211,4738,3827,4357,6116,6228,4688,2695,2225,2222
"RVCYZ000608",11667,14924,11607,8040,6681,7196,10126,11239,3560,5051,4948,4762
