"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000609",666,822,655,606,487,512,735,949,1559,1150,1000,1138
"RVCYZ000610",167,189,139,137,88,90,241,372,329,726,724,767
"RVCYZ000611",604,847,647,542,475,434,699,967,900,1428,1541,1530
"RVCYZ000612",821,1212,785,941,737,717,851,1149,1209,1799,1756,1644
"RVCYZ000613",1831,2297,1591,1364,1157,1000,1374,1847,1812,1870,1889,1797
"RVCYZ000614",1269,1610,1064,1106,958,932,935,1302,1286,1982,2067,2055
"RVCYZ000615",31031,40398,32197,19920,17051,19695,31147,31253,12053,9058,8062,8390
"RVCYZ000616",609,654,512,314,267,253,578,769,401,1029,998,1162
"RVCYZ000617",2098,2765,1912,1653,1348,1225,2252,3100,2640,3916,4264,4072
"RVCYZ000618",984,1173,866,621,567,608,923,1264,1130,1580,1650,1523
"RVCYZ000619",20723,27719,20618,21891,17945,19995,19702,20853,21949,10303,9323,9432
"RVCYZ000620",3404,3914,3217,2080,1804,1709,2295,2613,4713,1493,1606,1451
"RVCYZ000621",3026,3826,3202,2524,2135,2277,2515,3362,6481,2323,1984,2331
"RVCYZ000622",4386,5772,4275,3324,2690,2749,4051,5176,8690,6344,6305,6135
"RVCYZ000623",1142,1546,1124,804,701,686,1143,1434,1454,1572,1544,1509
"RVCYZ000624",459,638,444,395,275,293,520,610,509,955,996,907
"RVCYZ000625",19801,28116,18686,9188,7268,7357,17187,16720,12334,4628,4203,3936
"RVCYZ000626",1219,1688,1300,850,687,614,1244,1674,1258,1840,1818,1600
"RVCYZ000627",932,1248,817,814,685,704,1047,1441,2056,2502,2544,2349
"RVCYZ000628",11053,14050,10735,10677,8823,9289,8429,9379,4062,4865,4552,3974
"RVCYZ000629",4731,6538,4550,5334,4630,4705,4146,5083,3142,4634,4416,4435
"RVCYZ000630",141381,191163,149085,130906,110395,120002,113577,118285,40075,40436,35093,30635
"RVCYZ000631",2553,3031,2281,2298,1999,2042,2165,2995,2783,3664,3893,4063
"RVCYZ000632",54,89,38,48,45,30,86,152,26,304,395,340
"RVCYZ000633",3255,4278,3533,1839,1543,1581,3003,3385,862,1302,1156,952
"RVCYZ000634",1548,2129,1537,1203,949,919,1522,1861,2396,2345,2510,2111
"RVCYZ000635",108,166,82,138,100,70,118,220,108,586,695,539
"RVCYZ000636",170,250,136,223,170,127,211,371,210,1011,1015,945
"RVCYZ000637",49,56,30,45,46,24,65,141,21,303,359,410
"RVCYZ000638",232,245,158,175,204,121,279,464,81,910,999,1033
"RVCYZ000639",106,134,75,104,79,60,111,226,74,530,635,558
"RVCYZ000640",167,225,127,170,120,72,171,319,86,564,671,534
"RVCYZ000641",783,855,680,665,580,557,736,1136,567,1436,1582,1623
"RVCYZ000642",345,447,281,375,315,214,349,777,98,1625,1732,1593
"RVCYZ000643",91,108,60,112,90,71,121,200,6,429,485,420
"RVCYZ000644",246,353,205,285,199,152,318,565,119,1214,1216,1141
"RVCYZ000645",145,174,115,131,119,78,168,266,96,647,604,577
"RVCYZ000646",173,286,186,163,150,100,191,377,244,844,789,686
"RVCYZ000647",360,441,206,287,215,195,342,629,457,1267,1211,1176
"RVCYZ000648",913,1313,823,937,669,629,847,1361,1255,2652,2676,2476
"RVCYZ000649",1130,1409,1176,584,637,556,1249,1456,2460,1865,1839,1885
"RVCYZ000650",453,556,353,426,338,245,541,836,1409,1780,1898,1993
"RVCYZ000651",258,343,250,257,194,174,370,522,649,1359,1353,1259
